Date,gdp.log,real.rate.hlw,real.rate.lw03,real.rate.mean.PCE.Core,real.rate.CorePCE.Annual,inflation.hlw,inflation.lw03,inflation.mean.PCE.Core,inflation.CorePCE.Annual,inflation.expectations.hlw,inflation.expectations.lw03,inflation.expectations.mean.PCE.Core,inflation.expectations.CorePCE.Annual,interest.rate,tbill3m.eff,fed.funds.eff,new.ny.discount.eff,gdp.log.GDPCA,gdp.log.Annual,gdp.log.long
1964-10-01,8.28559777349033,2.58046852457007,2.58046852457007,2.58046852457007,2.58046852457007,1.01437775753247,1.01437775753247,1.01437775753247,1.01437775753247,1.24998175393391,1.24998175393391,1.24998175393391,1.24998175393391,3.83045027850397,3.80539643243498,3.69335716235266,3.83045027850397,8.29564635770972,8.304085517958,8.28559777349033
1965-01-01,8.30950730247884,2.90549473424049,2.90549473424049,2.90549473424049,2.90549473424049,1.50167263735127,1.50167263735127,1.50167263735127,1.50167263735127,1.20480331926875,1.20480331926875,1.20480331926875,1.20480331926875,4.11029805350924,4.02120951473592,4.11029805350924,4.13868168856417,8.31106485496269,8.31951970044676,8.30950730247884
1965-04-01,8.32206088627285,3.00161782142446,3.00161782142446,3.00161782142446,3.00161782142446,1.25841411442533,1.25841411442533,1.25841411442533,1.25841411442533,1.21830570117451,1.21830570117451,1.21830570117451,1.21830570117451,4.21992352259897,4.00523417962972,4.21992352259897,4.13868168856417,8.3261664236233,8.33463663193173,8.32206088627285
1965-07-01,8.34405002404096,2.96714131826392,2.96714131826392,2.96714131826392,2.96714131826392,1.22440280101651,1.22440280101651,1.22440280101651,1.22440280101651,1.2497168275814,1.2497168275814,1.2497168275814,1.2497168275814,4.21685814584531,3.99740089895821,4.21685814584531,4.13868168856417,8.34307675128225,8.35156416246539,8.34405002404096
1965-10-01,8.36682903365735,2.9846948164519,2.9846948164519,2.9846948164519,2.9846948164519,1.3389386514584,1.3389386514584,1.3389386514584,1.3389386514584,1.33085705106288,1.33085705106288,1.33085705106288,1.33085705106288,4.31555186751478,4.31566681555327,4.31555186751478,4.2881978267012,8.36174391750719,8.37025031879675,8.36682903365735
1966-01-01,8.39087980051396,3.27396714048717,3.27396714048717,3.27396714048717,3.27396714048717,1.98836174289416,1.98836174289416,1.98836174289416,1.98836174289416,1.4525293274486,1.4525293274486,1.4525293274486,1.4525293274486,4.72649646793577,4.78325248216949,4.72649646793577,4.66788472403135,8.37987209490022,8.38839693798292,8.39087980051396
1966-04-01,8.39429014585026,3.16117140903943,3.16117140903943,3.16117140903943,3.16117140903943,3.23252069238956,3.23252069238956,3.23252069238956,3.23252069238956,1.94605597193966,1.94605597193966,1.94605597193966,1.94605597193966,5.10722738097908,4.76050801333334,5.10722738097908,4.66788472403135,8.3975805136611,8.40612337151651,8.39429014585026
1966-07-01,8.4027235354497,3.17724608344602,3.17724608344602,3.17724608344602,3.17724608344602,3.28336388675751,3.28336388675751,3.28336388675751,3.28336388675751,2.46079624337491,2.46079624337491,2.46079624337491,2.46079624337491,5.63804232682092,5.24220473290531,5.63804232682092,4.66788472403135,8.40847055211904,8.41702448840954,8.4027235354497
1966-10-01,8.4108937906993,2.81026915072141,2.81026915072141,2.81026915072141,2.81026915072141,3.45453181524003,3.45453181524003,3.45453181524003,3.45453181524003,2.98969453432031,2.98969453432031,2.98969453432031,2.98969453432031,5.79996368504172,5.42268643470896,5.79996368504172,4.66788472403135,8.41221947650479,8.4207772265757,8.4108937906993
1967-01-01,8.41971067379375,1.96267274992016,1.96267274992016,1.96267274992016,1.96267274992016,2.1999359744067,2.1999359744067,2.1999359744067,2.1999359744067,3.04258809219845,3.04258809219845,3.04258809219845,3.04258809219845,5.00526084211861,4.68038267279189,5.00526084211861,4.66788472403135,8.41591206345811,8.42447356999738,8.41971067379375
1967-04-01,8.42032319573139,1.22595946877021,1.22595946877021,1.22595946877021,1.22595946877021,2.66850995683935,2.66850995683935,2.66850995683935,2.66850995683935,2.9015854083109,2.9015854083109,2.9015854083109,2.9015854083109,4.12754487708111,3.77965491829095,4.12754487708111,4.17349188112952,8.41957088800055,8.42813611666167,8.42032319573139
1967-07-01,8.42974004413321,1.04308468041169,1.04308468041169,1.04308468041169,1.04308468041169,3.60477457229607,3.60477457229607,3.60477457229607,3.60477457229607,2.98193807969554,2.98193807969554,2.98193807969554,2.98193807969554,4.02502276010723,4.45450122701232,4.02502276010723,4.13868168856417,8.42843500546437,8.43700925159135,8.42974004413321
1967-10-01,8.43725196192695,1.19693549655018,1.19693549655018,1.19693549655018,1.19693549655018,4.02837358186766,4.02837358186766,4.02837358186766,4.02837358186766,3.12539852135245,3.12539852135245,3.12539852135245,3.12539852135245,4.32233401790263,4.93730685242508,4.32233401790263,4.37879236307381,8.44268680209249,8.45127554657082,8.43725196192695
1968-01-01,8.45744170080978,1.2673804082879,1.2673804082879,1.2673804082879,1.2673804082879,4.52600538624051,4.52600538624051,4.52600538624051,4.52600538624051,3.7069158743109,3.7069158743109,3.7069158743109,3.7069158743109,4.9742962825988,5.25474767611047,4.9742962825988,4.72573553809588,8.45666387183741,8.46526683518746,8.45744170080978
1968-04-01,8.47401174891982,2.05459587385179,2.05459587385179,2.05459587385179,2.05459587385179,4.62899964763184,4.62899964763184,4.62899964763184,4.62899964763184,4.19703829700902,4.19703829700902,4.19703829700902,4.19703829700902,6.25163417086081,5.75743874707983,6.25163417086081,5.62839425437389,8.47037346233371,8.47899037244886,8.47401174891982
1968-07-01,8.48173159591853,1.80840378351684,1.80840378351684,1.80840378351684,1.80840378351684,4.43309189625521,4.43309189625521,4.43309189625521,4.43309189625521,4.4041176279988,4.4041176279988,4.4041176279988,4.4041176279988,6.21252141151565,5.40979295103308,6.21252141151565,5.63978835985801,8.48149126344232,8.49011948369548,8.48173159591853
1968-10-01,8.48565690924943,1.62633034093331,1.62633034093331,1.62633034093331,1.62633034093331,4.6387149082331,4.6387149082331,4.6387149082331,4.6387149082331,4.55670295959017,4.55670295959017,4.55670295959017,4.55670295959017,6.18303330052348,5.82887925986144,6.18303330052348,5.50635803869386,8.48999252448209,8.49862939306729,8.48565690924943
1969-01-01,8.50118676940615,2.36760935221147,2.36760935221147,2.36760935221147,2.36760935221147,4.35793339309643,4.35793339309643,4.35793339309643,4.35793339309643,4.51468496130415,4.51468496130415,4.51468496130415,4.51468496130415,6.88229431351561,6.3712758877442,6.88229431351561,5.73434990888551,8.49833058608606,8.50697593698054,8.50118676940615
1969-04-01,8.50422223105175,4.2654991254152,4.2654991254152,4.2654991254152,4.2654991254152,4.75634769804992,4.75634769804992,4.75634769804992,4.75634769804992,4.54652197390867,4.54652197390867,4.54652197390867,4.54652197390867,8.81202109932386,6.48185999705873,8.81202109932386,6.25388307333579,8.50655445054759,8.5152081675786,8.50422223105175
1969-07-01,8.5108056343406,4.950231552873,4.950231552873,4.950231552873,4.950231552873,4.57615249486227,4.57615249486227,4.57615249486227,4.57615249486227,4.58228712356043,4.58228712356043,4.58228712356043,4.58228712356043,9.53251867643343,7.37900635850075,9.53251867643343,,8.50969022846304,8.51834713552062,8.5108056343406
1969-10-01,8.50591685180191,4.89646590783775,4.89646590783775,4.89646590783775,4.89646590783775,4.67375900249947,4.67375900249947,4.67375900249947,4.67375900249947,4.59104814712703,4.59104814712703,4.59104814712703,4.59104814712703,9.48751405496477,7.74094515868657,9.48751405496477,,8.50739862102749,8.51605319683304,8.50591685180191
1970-01-01,8.50443089870147,4.47699868476277,4.47699868476277,4.47699868476277,4.47699868476277,4.34682404647344,4.34682404647344,4.34682404647344,4.34682404647344,4.58827081047128,4.58827081047128,4.58827081047128,4.58827081047128,9.06526949523405,7.5860817058196,9.06526949523405,,8.50512534575653,8.51377760895937,8.50443089870147
1970-04-01,8.50584908971558,3.79419761629859,3.79419761629859,3.79419761629859,3.79419761629859,4.49467249701376,4.49467249701376,4.49467249701376,4.49467249701376,4.52285201021224,4.52285201021224,4.52285201021224,4.52285201021224,8.31704962651083,7.00505598194154,8.31704962651083,,8.50285942410515,8.51150938218611,8.50584908971558
1970-07-01,8.51502263746745,2.55720171770727,2.55720171770727,2.55720171770727,2.55720171770727,4.40358863570845,4.40358863570845,4.40358863570845,4.40358863570845,4.47971104542378,4.47971104542378,4.47971104542378,4.47971104542378,7.03691276313105,6.62656595868047,7.03691276313105,,8.50614755563544,8.51480085873229,8.51502263746745
1970-10-01,8.50424836754076,1.09475505057971,1.09475505057971,1.09475505057971,1.09475505057971,5.59766680920623,5.59766680920623,5.59766680920623,5.59766680920623,4.71068799710047,4.71068799710047,4.71068799710047,4.71068799710047,5.80544304768018,5.57811264571102,5.80544304768018,,8.51531513303283,8.5239777623053,8.50424836754076
1971-01-01,8.53104599671092,-0.890253520960639,-0.890253520960639,-0.890253520960639,-0.890253520960639,5.03417458999003,5.03417458999003,5.03417458999003,5.03417458999003,4.88252563297962,4.88252563297962,4.88252563297962,4.88252563297962,3.99227211201898,3.97481982822745,3.99227211201898,,8.52430261481741,8.53297438705424,8.53104599671092
1971-04-01,8.53644252842067,-0.157704316609064,-0.157704316609064,-0.157704316609064,-0.157704316609064,4.5389314077795,4.5389314077795,4.5389314077795,4.5389314077795,4.89359036067105,4.89359036067105,4.89359036067105,4.89359036067105,4.73588604406199,4.40166943625391,4.73588604406199,,8.53316131497936,8.54184209917102,8.53644252842067
1971-07-01,8.54463869425161,0.975767212695499,0.975767212695499,0.975767212695499,0.975767212695499,3.74566920835669,3.74566920835669,3.74566920835669,3.74566920835669,4.72911050383311,4.72911050383311,4.72911050383311,4.72911050383311,5.70487771652861,5.21414462730301,5.70487771652861,,8.54404924541929,8.55274110590154,8.54463869425161
1971-10-01,8.54699371201436,1.03088333175985,1.03088333175985,1.03088333175985,1.03088333175985,2.2842557675566,2.2842557675566,2.2842557675566,2.2842557675566,3.90075774342071,3.90075774342071,3.90075774342071,3.90075774342071,4.93164107518056,4.38189788084455,4.93164107518056,,8.5569844020459,8.56568942146175,8.54699371201436
1972-01-01,8.56521620425747,0.0647312776268478,0.0647312776268478,0.0647312776268478,0.0647312776268478,3.81200207800705,3.81200207800705,3.81200207800705,3.81200207800705,3.59521461542496,3.59521461542496,3.59521461542496,3.59521461542496,3.65994589305181,3.5511026703652,3.65994589305181,,8.56968594650221,8.57840388719803,8.56521620425747
1972-04-01,8.58766004272766,1.32052736030614,1.32052736030614,1.32052736030614,1.32052736030614,2.6980968791608,2.6980968791608,2.6980968791608,2.6980968791608,3.13500598327028,3.13500598327028,3.13500598327028,3.13500598327028,4.45553334357642,3.89521918550428,4.45553334357642,,8.58216007194816,8.59089070257061,8.58766004272766
