date,inflation,interest
1972 Q4,2.51615117699688,5.35370718027677
1973 Q1,2.78136434742534,6.8497951384024
1973 Q2,5.40736261101008,8.24709139442608
1973 Q3,5.26038821727769,11.2964002013152
1973 Q4,5.55060111918571,10.6649907480456
1974 Q1,6.81618715074031,9.92579760614494
1974 Q2,9.80718654274997,12.080969305548
1974 Q3,11.238069500079,13.0478748699444
1974 Q4,9.68663549195356,9.93742234351107
1975 Q1,7.74257137216916,6.60120211370845
1975 Q2,6.04788439738248,5.64628155281957
1975 Q3,5.94496413552779,6.44320790586752
1975 Q4,6.48096513656083,5.64374614130416
1976 Q1,6.03455292444217,5.01640417773861
1976 Q2,4.7666999008558,5.4108115058346
1976 Q3,6.18985100240642,5.50275414735457
1976 Q4,6.24065193470314,5.06388347611704
1977 Q1,6.65976698112204,4.8370869236543
1977 Q2,6.08299511302061,5.3692501894202
1977 Q3,6.57691582452187,6.07416189465066
1977 Q4,5.79192719852614,6.82612823138349
1978 Q1,6.19917811728371,7.08907516981534
1978 Q2,6.83471340196668,7.66409670284052
1978 Q3,6.77734515714995,8.5539609316907
1978 Q4,7.13844522009128,10.2005781367464
1979 Q1,5.44915733208455,10.7519273953832
1979 Q2,8.68640697463982,10.8719761243496
1979 Q3,7.28165954194982,11.7302073746186
1979 Q4,8.29296338885382,14.7596853425867
1980 Q1,9.66221557804917,16.5008970299581
1980 Q2,8.85132906744434,13.7025862214157
1980 Q3,8.76805329821919,10.4734903194057
1980 Q4,9.66772348729459,17.4332817288888
1981 Q1,8.76723823939247,18.3148296949793
1981 Q2,7.49895358442122,19.7585384379371
1981 Q3,7.26923404849819,19.5246418716374
1981 Q4,7.07280921418903,14.7697996733129
1982 Q1,5.82290872433788,15.4915483091199
1982 Q2,5.37276205938505,15.8484131194588
1982 Q3,6.34122633472071,11.81271153095
1982 Q4,5.55047265667557,9.87288138582316
1983 Q1,5.21205068235143,9.17403475919263
1983 Q2,3.0502618774994,9.33275014212065
1983 Q3,6.01601416004968,10.0651625070476
1983 Q4,3.20386851184255,10.032668059341
1984 Q1,4.01841683482446,10.3205861818951
1984 Q2,4.66125803478723,11.2924037153987
1984 Q3,3.73165123209692,12.2404877096445
1984 Q4,2.84418756899099,9.84758389523117
